,Code,Post_Name,Roll_No
0,JVGHNG,Assistant Electrician,100001
1,1PCJL9,Assistant Electrician,100002
2,C1AN7L,Assistant Electrician,100003
3,BGVL3R,Assistant Electrician,100004
4,QUF1A8,Assistant Electrician,100005
5,75UZW3,Assistant Electrician,100006
6,NL9KQ9,Assistant Electrician,100007
7,M4D2C5,Assistant Electrician,100008
8,3HSN1B,Assistant Electrician,100009
9,7L2EKY,Assistant Electrician,100010
10,1X1RZ4,Assistant Electrician,100011
11,T2D1UE,Assistant Electrician,100012
12,9JTEPY,Assistant Electrician,100013
13,NTUCN3,Assistant Electrician,100014
14,ZMDD2W,Assistant Electrician,100015
15,ECPW8Q,Assistant Electrician,100016
16,SZVMXK,Assistant Electrician,100017
17,WRFXXD,Assistant Electrician,100018
18,MVSQA6,Assistant Electrician,100019
19,NESB3R,Assistant Electrician,100020
20,HCMVUR,Assistant Electrician,100021
21,U4DE44,Assistant Electrician,100022
22,6DLQRX,Assistant Electrician,100023
23,W1ZK1M,Assistant Electrician,100024
24,QARH5D,Assistant Electrician,100025
25,SEXDZS,Assistant Electrician,100026
26,VE26DD,Assistant Electrician,100027
27,BTUGXZ,Assistant Electrician,100028
28,Q6R51V,Assistant Electrician,100029
29,NSD74T,Assistant Electrician,100030
30,WCXZSE,Assistant Electrician,100031
31,9KRE7K,Assistant Electrician,100032
32,GCM8SY,Assistant Electrician,100033
33,YZUNJG,Assistant Electrician,100034
34,KWSYM7,Assistant Electrician,100035
35,6CQGK3,Assistant Electrician,100036
36,7NGQ6J,Assistant Electrician,100037
37,SJEHUT,Assistant Electrician,100038
38,9PCMG4,Assistant Electrician,100039
39,WAJTBU,Assistant Electrician,100040
40,RCDAE4,Assistant Electrician,100041
41,MZB5VH,Assistant Electrician,100042
42,8HAC4G,Assistant Electrician,100043
43,L24P4E,Assistant Electrician,100044
44,6L3R58,Assistant Electrician,100045
45,KNFH5M,Assistant Electrician,100046
46,QR2497,Assistant Electrician,100047
47,E67R91,Assistant Electrician,100048
48,4VXRDF,Assistant Electrician,100049
49,GNMZFR,Assistant Electrician,100050
50,NRCY9W,Assistant Electrician,100051
51,P1NW8M,Assistant Electrician,100052
52,VA7TS5,Assistant Electrician,100053
53,ZTJKCW,Assistant Electrician,100054
54,WP9J5E,Assistant Electrician,100055
55,KLEGXC,Assistant Electrician,100056
56,YJUBCA,Assistant Electrician,100057
57,VWPZ4N,Assistant Electrician,100058
58,M3LDDD,Assistant Electrician,100059
59,CJT6WY,Assistant Electrician,100060
60,JSG79F,Assistant Electrician,100061
61,TMMESZ,Assistant Electrician,100062
62,87D7VR,Assistant Electrician,100063
63,PLMUPC,Assistant Electrician,100064
64,8UJNAQ,Assistant Electrician,100065
65,W647Q2,Assistant Electrician,100066
66,9JTPNB,Assistant Electrician,100067
67,YRC7WS,Assistant Electrician,100068
68,RFUE5M,Assistant Electrician,100069
69,7QXN3V,Assistant Electrician,100070
70,JMXCFJ,Assistant Electrician,100071
71,2RXCDB,Assistant Electrician,100072
72,TZC8R6,Assistant Electrician,100073
73,9V9H4K,Assistant Electrician,100074
74,FDESS7,Assistant Electrician,100075
75,ZE4DNV,Assistant Electrician,100076
76,ERA8YN,Assistant Electrician,100077
77,KZ8B88,Assistant Electrician,100078
78,P8E2YK,Assistant Electrician,100079
79,AKXMT2,Assistant Electrician,100080
80,75RWDW,Assistant Electrician,100081
81,5T1M6V,Assistant Electrician,100082
82,5MK1L1,Assistant Electrician,100083
83,Q62E9U,Assistant Electrician,100084
84,RKYLK2,Assistant Electrician,100085
85,X5J3Q3,Assistant Electrician,100086
86,79GSZG,Assistant Electrician,100087
